NoteID,CustomerID,NoteDate,NoteType,Priority,Summary
N00039,C015,2025-09-27,Ticket,Low,Note about renewal
N00048,C015,2025-11-26,Call,Low,Note about delivery
N00014,C016,2025-03-18,Meeting,Medium,Note about billing
N00065,C016,2025-10-14,Meeting,Medium,Note about upgrade
N00034,C016,2025-11-07,Email,High,Note about renewal
N00117,C017,2024-12-13,Call,Low,Note about billing
N00001,C017,2024-12-15,Meeting,Low,Note about upgrade
N00006,C017,2025-04-08,Ticket,Low,Note about renewal
N00114,C017,2025-05-20,Email,Medium,Note about renewal
N00104,C017,2025-12-14,Meeting,Low,Note about upgrade
N00079,C018,2024-12-10,Ticket,Medium,Note about billing
N00032,C018,2025-01-11,Ticket,Medium,Note about delivery
N00103,C018,2025-05-10,Email,Medium,Note about billing
N00102,C018,2025-08-06,Call,Low,Note about billing
N00084,C018,2025-09-30,Ticket,Medium,Note about delivery
N00007,C018,2025-11-14,Ticket,Low,Note about billing
N00094,C018,2025-12-14,Email,Low,Note about renewal
N00005,C019,2024-12-14,Call,Low,Note about billing
N00016,C019,2025-02-24,Email,Low,Note about complaint
N00053,C019,2025-05-20,Meeting,Low,Note about renewal
N00042,C019,2025-07-11,Ticket,High,Note about upgrade
N00061,C019,2025-11-28,Ticket,Low,Note about complaint
N00023,C019,2025-12-24,Meeting,Low,Note about renewal
N00017,C020,2024-12-11,Email,Medium,Note about billing
N00031,C020,2025-02-03,Ticket,Medium,Note about billing
N00021,C020,2025-03-24,Meeting,Low,Note about complaint
N00043,C020,2025-05-07,Call,Low,Note about renewal
N00028,C020,2025-12-23,Meeting,Medium,Note about renewal
